x,y
-5.61641259070031,13.556226964824116
-5.472087351758793,13.70122197463025
-5.464052090656335,13.73520450251256
-5.422701394387064,13.914182040201002
-5.379337073235393,14.09315957788944
-5.334069963189033,14.272137115577884
-5.330658809045225,14.286510999162278
-5.301799409589117,14.451114653266329
-5.271820761977225,14.63009219095477
-5.243295522095824,14.809069728643212
-5.21603592703324,14.988047266331655
-5.189248328582176,15.167024804020096
-5.189230266331657,15.16714927471704
-5.170609642327392,15.346002341708536
-5.150464618589329,15.52497987939698
-5.12720268487373,15.703957417085425
-5.098971036230275,15.882934954773866
-5.063551143399011,16.061912492462305
-5.04780172361809,16.128894969528428
-5.026914102523284,16.240890030150748
-4.986173836162781,16.41986756783919
-4.933727687974219,16.598845105527634
-4.906373180904522,16.677463836281778
-4.8753730346107895,16.777822643216076
-4.808710641664797,16.95680018090452
-4.764944638190954,17.054637724375624
-4.729352547974939,17.13577771859296
-4.636414213936493,17.5147552562814
-4.623516095477386,17.537253535822355
-4.426194589974527,17.69373279396984
-4.382087552763819,17.756905108121547
-4.433664485031241,17.882710331658288
-4.390659010050251,17.96646862451212
-4.449230467336683,17.917036848632137
-4.417644895012549,17.967959055787407
-4.407801924623114,18.062077004849108
-4.2663733819095455,17.92435385416811
-4.124944839195978,18.135481783952997
-4.02423305078612,18.109653971041645
-3.98351629648241,18.116624643034893
-3.8659256064501366,18.001523890980323
-3.8420877537688423,17.994534171836335
-3.780845473646728,17.893393810918997
-3.725369274038414,17.749840002044113
-3.700659211055275,17.68184092697078
-3.681113156564854,17.641709921982788
-3.6366570076410505,17.49815611310791
-3.5894116574666626,17.354602304233026
-3.5592306683417068,17.392468830917913
-3.5264278426294355,17.346472224171706
-3.443038240429001,17.202918415296818
-3.417802125628139,17.229071150481047
-3.331336870500688,17.114788335235495
-3.2763735829145713,17.04668121441932
-3.198458620936549,16.96665825517417
-3.1349450402010035,16.896207273403757
-3.054435512354757,16.818528175112846
-2.993516497487436,16.75180891014103
-2.91051348010701,16.670398095051524
-2.852087954773868,16.606924816547405
-2.761189242890418,16.5222680149902
-2.7106594120603003,16.477564445295346
-2.57424215150662,16.37413793492887
-2.5692308693467325,16.3851455648551
-2.4278023266331648,16.3156920812781
-2.286373783919597,16.271623766504923
-2.202616283860449,16.25685531249467
-2.1449452412060275,16.250874712715536
-2.0035166984924597,16.20818297836583
-1.862088155778892,16.151339408788726
-1.8188516119626412,16.13957269006047
-1.7206596130653242,16.19803436106018
-1.581991465333883,16.1769981655547
-1.5792310703517565,16.265548419973232
-1.4378025276381887,16.218086830175388
-1.4018709271200638,16.270958480973604
-1.096373984924621,16.34243821208002
-1.096000126781027,16.37393951202339
-1.0549454422110531,16.356977321170575
-1.0433564066068055,16.376920543073176
-1.0135168994974857,16.384011655770248
-0.9087529083705096,16.464346018567408
-0.8720883567839177,16.396116177110276
-0.7306598140703501,16.27523275090787
-0.5892312713567823,16.186447403239633
-0.4478027286432144,16.126905214580365
-0.3063741859296467,16.091358483364743
-0.1649456432160789,16.073987076078247
-0.0235171005025112,16.069583163297853
0.1179114422110565,16.074232420766204
0.259339984924626,16.085678880694616
0.302525013010464,16.093159577889438
0.4007685276381938,16.149881922681608
0.5421970703517616,16.230950373983223
0.6607899816893111,16.303008786280063
0.6836256130653292,16.32668076116351
0.8250541557788971,16.41640188342612
0.9664826984924648,16.49661129564383
1.0109096802609492,16.523148551571413
1.1079112412060326,16.571738454522503
1.2493397839196003,16.609133452830623
1.390768326633168,16.621131239196465
1.5321968693467376,16.649250931107257
1.551219930283671,16.715712447186153
1.6736254120603036,16.725509021788135
1.815053954773873,16.739373763428393
1.956482497487439,16.77629239656825
2.0979110402010086,16.84902914079901
2.1688572596891618,16.916371580896136
2.2393395829145746,16.988350371977855
2.3271692856969524,17.104184200640002
2.380768125628144,17.113044427396225
2.4512420426034813,17.095330153717192
2.52219666834171,17.077142327275368
2.5619846952200453,17.020920551238838
2.6636252110552796,17.07041123164531
2.664984824036925,16.946510948760476
2.7512856893531503,17.148794916365517
2.8050537537688456,17.129461041111398
2.834539735506534,17.07438531388716
2.9113386023350607,17.126669281492205
2.946482296482415,17.167857205525596
2.987770795379699,17.244799361553525
3.0699486903892845,17.398353170428404
3.087910839195981,17.407310447868184
3.163057745546608,17.52648325048973
3.2293393819095506,17.60529488158808
3.2815202283885028,17.504613330551056
3.3707679246231166,17.785188090861215
3.4442436375669727,17.832743410612377
3.512196467336686,17.866162031191028
3.653625010050256,17.44063602664291
3.686991237086348,17.435449761860145
3.7950535527638216,17.472680598544184
3.936482095477391,17.524172739134727
4.002671142012099,17.53815611310791
4.077910638190957,17.5575655946939
4.219339180904527,17.43215807955144
4.259278438009145,17.44086246435567
4.360767723618093,17.49780419215159
4.4745236396796795,17.568992544416993
