,FlowSOM_metacluster_V1,FlowSOM_metacluster_1,FlowSOM_metacluster_10,FlowSOM_metacluster_11,FlowSOM_metacluster_12,FlowSOM_metacluster_13,FlowSOM_metacluster_14,FlowSOM_metacluster_15,FlowSOM_metacluster_16,FlowSOM_metacluster_17,FlowSOM_metacluster_18,FlowSOM_metacluster_19,FlowSOM_metacluster_2,FlowSOM_metacluster_20,FlowSOM_metacluster_21,FlowSOM_metacluster_22,FlowSOM_metacluster_23,FlowSOM_metacluster_24,FlowSOM_metacluster_25,FlowSOM_metacluster_26,FlowSOM_metacluster_27,FlowSOM_metacluster_28,FlowSOM_metacluster_29,FlowSOM_metacluster_3,FlowSOM_metacluster_30,FlowSOM_metacluster_31,FlowSOM_metacluster_32,FlowSOM_metacluster_33,FlowSOM_metacluster_34,FlowSOM_metacluster_35,FlowSOM_metacluster_36,FlowSOM_metacluster_37,FlowSOM_metacluster_38,FlowSOM_metacluster_39,FlowSOM_metacluster_4,FlowSOM_metacluster_40,FlowSOM_metacluster_5,FlowSOM_metacluster_6,FlowSOM_metacluster_7,FlowSOM_metacluster_8,FlowSOM_metacluster_9
24,P27_C1_D1_T_Cell_Panel,0,5041,424,458,1087,83,3,1,3,573,79,19386,532,1214,1276,2435,263,108,50,42,3737,162,67356,253,0,81,33,470,26,12,4489,522,6,1262,13,1353,32531,184,1177,92
25,P38_C1_D1_T_Cell_Panel,2,3168,7,2261,210,1026,952,9,29,338,1266,48177,256,628,219,300,16,266,49,466,457,62,49341,68,0,365,0,1,6,80,806,988,224,633,141,318,3857,959,1910,523
26,P38_C1_D8_T_Cell_Panel,0,5166,678,1700,173,616,215,92,46,135,838,18331,579,273,831,67,43,2919,266,120,919,199,53562,1269,14,118,302,106,302,49,10,118,230,2249,13,273,2402,163,2544,93
27,P06_C12_D29_T_Cell_Panel,0,4336,142,1002,212,8,16,9,25,1081,336,169,136,874,1208,28,35,2376,1300,23,941,56,4463,3683,2448,17,900,89,9,44,2,9,839,1481,0,1629,831,32,4,103
28,P06_C7_D1_T_Cell_Panel,0,28180,224,3269,1280,91,10,44,64,1249,1805,94,1600,3281,2791,145,198,10328,4410,357,4148,211,4089,14763,9270,40,6042,684,85,232,22,18,3795,13355,2,657,86,362,15,248
29,P06_C7_D22_T_Cell_Panel,0,16297,770,4318,478,110,157,99,143,4373,1812,4257,291,1681,1549,98,88,6472,3884,217,2683,207,6348,9295,7909,42,3203,461,72,157,33,9,2921,11454,7,869,673,137,178,604
30,P10_C12_D29_T_Cell_Panel,0,7935,326,3880,171,111,4,131,142,2061,2001,94,199,168,269,69,30,3932,860,120,1028,25,9746,3498,23,505,1859,725,26,166,4,9,3149,646,1,146,212,230,12,207
31,P10_C1_D1_T_Cell_Panel,6208,55051,93,23787,1257,1296,719,252,48,8844,8335,35977,474,677,243,3547,147,8257,953,639,1524,1186,60540,2852,7,2517,370,218,9,1175,7964,10806,8285,9343,2789,169,2598,456,2395,296
32,P10_C1_D8_T_Cell_Panel,0,29445,2177,11094,531,827,339,712,674,3834,4002,3534,617,391,341,134,77,4539,680,221,1025,80,70825,2640,21,255,1142,530,47,433,3,9,3384,2059,2,459,1416,406,155,1034
33,P10_C7_D1_T_Cell_Panel,0,50247,2081,25344,917,2688,87,961,1174,14172,12015,2765,1387,863,1235,292,188,13591,3636,589,2291,131,87751,11363,118,615,5242,3031,169,882,13,10,14793,4958,9,1187,2686,1901,281,1441
34,P10_C7_D22_T_Cell_Panel,0,42052,1995,21658,1364,698,201,609,721,9757,9754,4537,1246,549,1016,247,131,16594,3727,337,2128,92,56429,13726,139,807,6065,3027,182,686,32,12,17305,3772,6,630,2063,780,214,1117
35,P16_C1_D1_T_Cell_Panel,129337,13067,55,6429,1139,1812,4086,80,46,1447,1333,224249,296,9230,8049,2032,622,583,88,296,6765,245,64650,273,1,386,17,54,34,189,27788,2363,41,6010,19,8402,8360,447,8214,518
36,P16_C1_D8_T_Cell_Panel,0,41869,825,12110,2604,593,1142,121,328,1858,2669,56581,1613,12581,34425,806,2163,7475,581,278,123651,169,65145,8086,38,140,5875,2028,1165,324,71,69,134,10488,2,23480,175115,1764,1324,1144
37,P16_C7_D1_T_Cell_Panel,0,20973,665,6388,850,1056,452,201,689,1020,1560,6374,769,5469,11338,525,1186,2490,333,281,37605,158,44631,2399,13,47,1347,682,194,148,42,22,53,5523,4,13855,47344,2852,348,1282
38,P16_C7_D22_T_Cell_Panel,0,24605,1263,7648,2236,830,933,157,603,1388,2153,20865,1388,8078,24022,821,1840,5730,582,376,71722,293,55778,5553,21,81,2382,1309,489,201,44,34,81,10359,2,24377,118610,3360,711,1500
