,FlowSOM_metacluster_ 1,FlowSOM_metacluster_ 2,FlowSOM_metacluster_ 3,FlowSOM_metacluster_ 4,FlowSOM_metacluster_ 5,FlowSOM_metacluster_ 6,FlowSOM_metacluster_ 7,FlowSOM_metacluster_ 8,FlowSOM_metacluster_ 9,FlowSOM_metacluster_ 10,FlowSOM_metacluster_ 11,FlowSOM_metacluster_ 12,FlowSOM_metacluster_ 13,FlowSOM_metacluster_ 14,FlowSOM_metacluster_ 15,FlowSOM_metacluster_ 16,FlowSOM_metacluster_ 17,FlowSOM_metacluster_ 18,FlowSOM_metacluster_ 19,FlowSOM_metacluster_ 20,FlowSOM_metacluster_ 21,FlowSOM_metacluster_ 22,FlowSOM_metacluster_ 23,FlowSOM_metacluster_ 24,FlowSOM_metacluster_ 25,FlowSOM_metacluster_ 26,FlowSOM_metacluster_ 27,FlowSOM_metacluster_ 28,FlowSOM_metacluster_ 29,FlowSOM_metacluster_ 30,FlowSOM_metacluster_ 31,FlowSOM_metacluster_ 32,FlowSOM_metacluster_ 33,FlowSOM_metacluster_ 34,FlowSOM_metacluster_ 35,FlowSOM_metacluster_ 36,FlowSOM_metacluster_ 37,FlowSOM_metacluster_ 38,FlowSOM_metacluster_ 39,FlowSOM_metacluster_ 40,Patient_ID,time
67,26,26,530,0,2,0,0,15,211,11,12,2,1,14,37,0,0,23,12,0,23,12,2,20,2,56,52,51,33,50,96,18,22,8,229,0,18,2,18,3,P07,C7_D1
68,75,56,1004,3,1,2,1,50,515,33,52,15,0,38,75,2,0,60,14,1,100,45,5,81,7,145,122,137,109,53,487,84,24,24,827,3,39,11,12,7,P07,C7_D22
69,46,90,539,5,0,1,0,138,376,96,154,68,7,217,139,10,0,188,7,6,532,25,10,97,3,125,1030,368,33,365,999,150,56,67,1850,4,55,21,68,5,P15,C1_D8
70,1391,283,7900,10,0,19,0,947,2386,282,330,30,42,30,194,28,0,100,129,7,89,251,30,647,44,72,158,190,782,431,471,276,192,131,1376,24,233,1221,241,1652,P20,C1_D8
71,295,108,1707,3,0,1,0,237,636,49,86,12,6,11,43,6,0,19,15,7,28,32,4,217,6,12,33,76,211,85,280,119,32,41,1211,3,99,70,17,111,P20,C7_D22
72,22,12,169,9,1,17,3,75,140,60,374,53,0,47,211,5,0,79,7,14,228,19,0,51,5,28,123,92,33,49,300,187,3,45,150,4,32,40,6,6,P26,C1_D1
73,37,18,373,13,4,32,12,116,290,120,898,45,1,46,476,8,0,98,4,30,499,24,3,70,4,31,204,163,96,55,774,371,6,91,290,9,125,103,10,18,P26,C1_D8
74,20,20,91,291,477,736,161,35,617,213,796,20,7,28,22,41,0,239,100,13,1364,67,20,514,70,137,1589,1399,627,1895,3022,1403,524,386,1672,76,191,92,1202,5,P17,C1_D1
75,8,4,13,0,0,0,0,36,57,39,245,43,3,14,12,37,0,5,1,2,59,9,3,101,4,1,3,64,42,7,49,166,2,44,104,0,4,74,9,4,P17,C1_D8
76,319,135,1212,6,40,6,0,437,2478,339,2016,153,12,179,519,2454,0,180,29,13,1611,63,26,1154,42,78,188,834,1371,352,1814,1278,76,151,2209,42,135,108,165,83,P17,C7_D1
77,127,92,525,1,19,7,0,267,1159,232,1288,122,17,86,215,1037,0,96,26,8,815,32,17,774,32,47,99,547,725,326,1065,901,77,108,1378,13,57,67,160,36,P17,C7_D22
78,321,103,1239,12,48,14,0,410,2604,319,1972,101,17,133,554,2573,0,59,17,18,1517,71,9,957,39,58,120,699,1313,144,1126,1057,32,123,1343,39,84,99,73,86,P17,SPD
79,5,11,3,20,82,305,11,1,13,7,65,18,2,0,6,0,0,392,13,80,52,4,10,8,34,13,83,27,16,359,976,135,211,210,1886,222,212,26,244,0,P18,C1_D1
80,91,38,68,6,0,1,0,27,173,36,106,60,6,9,15,7,2,1644,25,6,69,28,45,74,11,68,423,111,144,2685,1644,171,1163,188,5396,27,169,56,593,8,P18,C1_D8
81,184,82,157,11,0,1,0,73,451,33,147,146,4,23,11,16,1,840,7,29,110,36,14,210,21,38,208,288,358,624,5395,401,443,183,10342,12,525,28,88,12,P18,C7_D1
82,178,54,127,17,1,0,0,68,310,25,128,103,6,13,15,20,2,1141,8,35,104,31,20,123,24,52,293,222,315,1219,4301,374,643,170,7702,26,319,42,203,10,P18,C7_D22
83,64,29,42,3,1,0,0,41,78,27,96,37,6,2,7,3,0,1645,17,9,22,29,54,37,14,64,282,60,99,3628,1193,161,1290,330,5300,142,173,43,724,3,P18,SPD
84,38,274,2134,0,0,1,0,186,2425,375,225,27,17,69,71,18,0,102,10,0,285,56,3,297,2,61,165,382,138,357,325,119,110,58,516,6,35,97,148,56,P22,C1_D1
85,19,261,1299,0,0,0,0,122,1592,222,120,15,9,55,31,8,0,74,9,0,200,20,7,211,6,45,168,346,83,363,298,85,165,39,534,2,68,149,100,59,P22,C1_D8
86,41,198,1133,0,0,0,0,124,1009,77,76,24,9,43,20,8,0,193,39,1,102,7,18,135,1,78,226,249,65,696,259,69,297,36,535,1,73,165,272,76,P22,C7_D1
87,39,216,1081,0,0,1,0,86,881,71,74,16,20,53,15,7,0,305,60,1,88,12,18,107,2,93,484,250,53,1301,222,72,503,38,467,1,68,70,438,36,P22,C7_D22
88,128,53,328,0,0,0,0,77,795,309,165,68,10,56,39,31,0,328,173,0,416,23,38,144,15,164,1258,272,238,950,1432,173,256,60,761,4,146,67,495,19,P25,C1_D1
89,149,53,430,0,0,2,0,110,1180,310,168,30,6,44,44,38,0,232,119,1,390,26,16,158,15,161,997,244,349,826,1171,148,242,39,656,6,136,98,314,7,P25,C1_D8
90,12,29,148,930,3152,4963,704,34,414,423,2523,24,5,121,221,19,0,235,176,136,1685,54,19,213,38,287,921,486,412,1057,3948,1969,252,1009,2580,392,232,221,639,9,P13,C1_D1
91,693,534,6238,15,7,13,2,1161,7366,1373,3737,94,29,1243,2303,482,0,397,188,28,4205,94,27,2460,46,912,1853,2023,3700,989,7722,2314,229,375,3616,45,335,294,161,66,P13,C1_D8
92,561,530,4331,7,3,4,1,777,4710,946,3228,132,56,1141,1479,355,0,870,336,20,3176,64,72,2152,23,1648,2822,1589,2349,5688,8681,2003,964,450,4537,31,367,320,1687,54,P13,C12_D29
93,504,237,3951,15,3,18,2,438,3991,581,1910,61,31,617,1091,364,0,380,314,6,1990,49,94,1017,13,1495,1680,752,2580,4295,3436,1116,760,240,1898,28,213,181,1595,42,P13,C7_D1
94,669,307,4850,15,4,10,1,671,4836,750,3151,88,25,874,1578,459,0,237,185,15,2715,46,33,1731,11,806,1437,1107,2967,1778,5010,1656,256,339,2497,23,306,383,400,70,P13,C7_D22
95,44,24,81,307,69,214,129,66,66,15,157,10,3,4,44,0,0,65,81,35,51,19,16,34,7,88,54,20,41,131,94,98,44,57,184,14,30,36,206,18,P21,C1_D1
96,83,146,674,0,0,0,0,117,306,71,128,33,9,44,15,0,0,34,73,0,53,27,9,170,9,197,86,93,93,195,144,72,34,20,129,0,29,32,139,20,P21,C1_D8
97,223,501,2372,6,0,0,0,356,1082,214,416,84,36,232,63,4,0,453,716,1,206,91,92,409,27,1490,333,210,318,968,618,232,199,85,1068,5,241,118,775,59,P21,C7_D1
98,317,608,2811,1,0,2,1,469,1388,314,573,123,43,203,61,12,0,302,414,3,265,116,49,666,37,965,311,323,537,642,488,340,125,86,707,5,182,179,443,99,P21,C7_D22
99,67,28,139,0,0,2,2,82,792,289,1464,33,9,22,25,25,0,810,17,3,465,144,31,1010,16,148,340,279,938,1525,3174,705,508,417,11514,45,293,195,494,11,Control_14,Control
100,0,3,6,473,682,537,361,10,54,13,175,4,0,2,15,2,0,127,13,79,295,36,16,18,20,59,513,72,128,434,1306,310,237,316,1709,157,125,51,360,1,Control_1,Control
101,294,40,769,4,3,8,0,469,2161,497,2369,85,20,99,491,2029,0,29,5,5,1520,46,2,1419,14,5,42,363,1624,42,354,722,2,126,529,19,31,111,85,43,Control_17,Control
102,5,25,95,0,0,0,0,8,54,17,13,4,1,15,9,3,0,21,3,0,26,9,10,11,4,38,125,39,4,149,51,9,28,27,426,5,16,20,36,4,Control_19,Control
103,75,71,183,3,0,10,0,114,411,228,679,151,6,44,33,31,0,1905,71,13,265,131,69,357,18,217,531,185,314,2517,1743,470,1025,367,5391,43,139,68,2003,5,Control_13,Control
104,1408,491,1197,4,1,4,0,637,720,36,430,1138,14,525,295,29,0,408,165,56,569,9,89,352,17,1268,324,592,247,671,1352,974,108,35,406,12,60,102,102,48,Control_18,Control
105,105,88,114,2909,2180,1706,501,27,21,1,83,178,9,243,108,41,0,238,238,1172,762,26,57,9,36,404,536,563,48,171,2989,422,115,210,1024,136,351,143,199,41,Control_9,Control
106,6,7,16,184,49,1463,2005,20,24,70,958,19,9,1,51,3,0,287,84,21,170,61,350,30,20,124,594,45,64,746,344,251,255,655,1329,162,105,146,1121,6,Control_7,Control
107,37,30,262,0,0,1,0,97,2348,323,374,13,8,131,52,12,9,25,88,0,494,21,73,1030,36,123,266,224,836,525,248,247,157,102,726,2,22,187,278,23,Control_15,Control
108,339,74,102,194,174,214,39,116,94,2,112,285,1,23,38,7,0,75,31,295,174,4,10,52,32,93,86,165,46,195,497,454,35,55,116,8,20,28,38,14,Control_3,Control
109,273,76,351,1805,2799,1567,1236,251,663,94,475,110,6,18,100,23,0,132,57,91,367,177,39,350,50,78,331,209,470,590,1151,1052,264,236,945,84,72,103,438,38,Control_2,Control
110,1,2,14,9,300,170,16,0,43,6,37,2,0,0,5,1,0,105,21,4,81,1,15,11,4,62,255,20,21,267,223,48,145,28,292,36,62,14,277,1,Control_6,Control
111,3,3,3,87,136,918,558,10,61,9,661,3,0,0,4,4,0,42,4,12,126,23,10,53,14,19,55,13,115,297,367,342,126,582,1304,958,107,79,334,0,Control_8,Control
112,757,36,259,1760,510,5290,2225,570,544,49,1617,148,4,8,252,4,0,879,637,77,72,426,250,310,24,164,176,38,744,2180,1541,753,632,689,5877,254,341,197,2016,28,Control_5,Control
113,229,225,734,76,26,39,2,359,754,145,704,154,122,212,527,642,0,246,106,49,550,56,292,343,28,449,69,258,521,204,749,587,80,105,1858,43,76,18,123,37,Control_16,Control
114,23,10,19,1017,328,1369,1187,33,7,1,218,11,1,13,34,1,0,30,110,99,210,7,111,5,9,118,74,23,8,172,236,245,79,228,248,139,84,112,204,17,Control_10,Control
115,3,12,13,171,847,1028,873,24,108,89,952,67,7,23,138,11,0,516,98,55,755,16,111,21,11,261,674,118,39,717,1199,616,177,316,4491,114,244,138,567,2,Control_4,Control
116,36,16,335,4,12,46,20,47,1778,79,259,8,6,74,59,51,0,5,67,0,352,52,4,136,3,36,67,56,609,45,36,76,7,41,243,5,10,19,72,2,Control_12,Control
117,64,16,466,2,0,3,4,32,2068,46,143,4,1,84,32,73,0,6,62,0,250,9,3,153,2,27,61,72,639,46,48,50,7,19,235,2,8,16,73,4,Control_11,Control
