,Feature,Correlation,P-value
192,PDCD1LG2,0.010714285714285713,0.9697698761545686
233,TNFSF18,0.007142857142857141,0.9798442277615982
101,IFNA1; IFNA13,0.0,1.0
54,CSF1R,-0.0035714285714285704,0.9899214068809781
245,WNT16,-0.014285714285714282,0.9596997645989476
98,HLA-DRA,-0.017857142857142853,0.9496353041738621
214,TNFRSF11A,-0.017857142857142853,0.9496353041738621
53,CSF1,-0.017857142857142853,0.9496353041738621
201,SELP,-0.021428571428571425,0.9395779040128779
84,FGF23,-0.021428571428571425,0.9395779040128779
104,IFNG,-0.024999999999999998,0.9295289708192378
56,CSF2RB,-0.028571428571428564,0.9194899083821857
204,SPP1,-0.03214285714285714,0.9094621170945906
43,CD46,-0.035714285714285705,0.8994469934720875
131,IL1B,-0.039285714285714285,0.8894459296739485
169,LGALS9,-0.04285714285714285,0.8794603130258999
120,IL17A,-0.04642857142857142,0.8694915255450946
222,TNFRSF1B,-0.04642857142857142,0.8694915255450946
100,ICOSLG,-0.049999999999999996,0.859540943467457
75,CXCL6,-0.049999999999999996,0.859540943467457
39,CD3E,-0.05357142857142857,0.8496099367776071
102,IFNA2,-0.05357142857142857,0.8496099367776071
38,CD276,-0.05714285714285713,0.8396998687415758
105,IFNL1,-0.06071428571428571,0.8298120954425188
196,S100A12,-0.06428571428571428,0.8199479653196377
55,CSF2,-0.06428571428571428,0.8199479653196377
70,CXCL14,-0.06428571428571428,0.8199479653196377
57,CSF3,-0.06785714285714285,0.8101088187105131
128,IL18BP,-0.06785714285714285,0.8101088187105131
190,OSMR,-0.06785714285714285,0.8101088187105131
234,TNFSF4,-0.07142857142857141,0.8002959873970544
246,WNT7A,-0.07142857142857141,0.8002959873970544
99,ICAM1,-0.07142857142857141,0.8002959873970544
19,CCL2,-0.075,0.7905107941552679
166,LAG3,-0.07857142857142857,0.7807545523090466
1,AGRP,-0.07857142857142857,0.7807545523090466
79,EPO,-0.07857142857142857,0.7807545523090466
10,CALCA,-0.08214285714285713,0.7710285652881772
46,CD83,-0.08928571428571427,0.751672517350277
92,GFAP,-0.09285714285714285,0.742045009907367
4,ANXA1,-0.09285714285714285,0.742045009907367
15,CCL15,-0.09285714285714285,0.742045009907367
139,IL23,-0.0964285714285714,0.7324528633867308
241,VEGFC,-0.10357142857142855,0.7133796306287292
206,TEK,-0.10357142857142855,0.7133796306287292
24,CCL24,-0.11071428571428568,0.6944626472070963
80,FASLG,-0.11428571428571425,0.6850657626568972
88,FTH1,-0.12142857142857141,0.6664011137233894
237,TREM1,-0.12142857142857141,0.6664011137233894
229,TNFSF12,-0.125,0.6571356681869504
45,CD80,-0.125,0.6571356681869504
212,TLR3,-0.13214285714285715,0.6387442188840665
71,CXCL16,-0.1357142857142857,0.6296204418728145
239,VCAM1,-0.14285714285714282,0.6115222287644655
