,Feature,Correlation,P-value
217,TNFRSF13C,-0.19411764705882353,0.47128972836210736
142,IL2RA,-0.19705882352941176,0.46446421122573867
68,CXCL12,-0.19705882352941176,0.46446421122573867
216,TNFRSF13B,-0.2088235294117647,0.43765851094980035
143,IL2RB,-0.21176470588235297,0.431083247239221
3,ANGPT2,-0.21176470588235297,0.431083247239221
140,IL24,-0.21764705882352942,0.41808684161130294
202,SIRPA,-0.21764705882352942,0.41808684161130294
107,IFNW1,-0.22058823529411767,0.4116664304979635
169,LGALS9,-0.22352941176470587,0.40529834728275893
224,TNFRSF4,-0.22647058823529412,0.3989829266412891
144,IL32,-0.22647058823529412,0.3989829266412891
152,IL4R,-0.2323529411764706,0.38651134990798475
21,CCL21,-0.23823529411764705,0.37425412972798844
245,WNT16,-0.2411764705882353,0.36820660804263405
163,KITLG,-0.2441176470588235,0.3622134961419501
150,IL3RA,-0.2441176470588235,0.3622134961419501
41,CD40,-0.24705882352941175,0.35627504151257705
12,CCL11,-0.25,0.3503914791072017
154,IL5RA,-0.25,0.3503914791072017
38,CD276,-0.2529411764705882,0.34456303133749866
162,KDR,-0.2529411764705882,0.34456303133749866
183,MPO,-0.25588235294117645,0.33878990807124576
35,CD200R1,-0.26176470588235295,0.3274104118125859
53,CSF1,-0.26176470588235295,0.3274104118125859
93,GRN,-0.2647058823529412,0.3218043958686153
121,IL17A|IL17F,-0.2647058823529412,0.3218043958686153
192,PDCD1LG2,-0.2647058823529412,0.3218043958686153
172,LTA,-0.2647058823529412,0.3218043958686153
126,IL17RB,-0.2647058823529412,0.3218043958686153
58,CSF3R,-0.2676470588235294,0.3162544185483094
124,IL17F,-0.27058823529411763,0.31076062710233504
4,ANXA1,-0.27058823529411763,0.31076062710233504
133,IL1R2,-0.2764705882352941,0.2999421284923735
134,IL1RL1,-0.2823529411764706,0.2893498290632739
213,TNF,-0.2823529411764706,0.2893498290632739
136,IL2,-0.28529411764705886,0.28413874015956303
109,IL10,-0.28823529411764703,0.27898445973708325
225,TNFRSF8,-0.29705882352941176,0.2638630146135225
190,OSMR,-0.29705882352941176,0.2638630146135225
56,CSF2RB,-0.3,0.25893645256249886
44,CD70,-0.3,0.25893645256249886
147,IL36A,-0.3029411764705882,0.25406688060961147
69,CXCL13,-0.30882352941176466,0.24449869579851796
206,TEK,-0.3147058823529411,0.23515831926634445
156,IL6R,-0.31764705882352945,0.23057346362184541
220,TNFRSF18,-0.33529411764705885,0.20425458084551512
84,FGF23,-0.33529411764705885,0.20425458084551512
85,FLT1,-0.33529411764705885,0.20425458084551512
173,LTA|LTB,-0.33529411764705885,0.20425458084551512
199,SDC1,-0.3411764705882353,0.1959326248678891
63,CX3CL1,-0.3411764705882353,0.1959326248678891
221,TNFRSF1A,-0.34411764705882353,0.19185563142554293
228,TNFSF11,-0.3558823529411765,0.1761037380915931
239,VCAM1,-0.3558823529411765,0.1761037380915931
129,IL18R1,-0.3588235294117647,0.17230386289263244
110,IL10RB,-0.36764705882352944,0.1612323576755899
222,TNFRSF1B,-0.36764705882352944,0.1612323576755899
164,KLRK1,-0.37058823529411766,0.15765046473782054
242,VEGFD,-0.3735294117647059,0.15412246989684827
16,CCL16,-0.37941176470588234,0.14722713386289268
175,MICA,-0.3852941176470588,0.1405441773736763
157,IL6ST,-0.38823529411764707,0.13728162367278124
223,TNFRSF21,-0.38823529411764707,0.13728162367278124
9,C1QA,-0.3911764705882353,0.1340712861972552
233,TNFSF18,-0.3911764705882353,0.1340712861972552
36,CD27,-0.3941176470588235,0.13091285429899105
23,CCL23,-0.3970588235294118,0.1278060090882619
45,CD80,-0.4058823529411764,0.11879168453237476
219,TNFRSF17,-0.411764705882353,0.11303386621436724
48,CEACAM5,-0.4147058823529412,0.11022940391770164
197,S100A9,-0.4176470588235294,0.1074740793993006
70,CXCL14,-0.42352941176470593,0.10210932208599745
128,IL18BP,-0.4264705882352941,0.09949911193753966
118,IL15RA,-0.43529411764705883,0.09195235850572929
237,TREM1,-0.4382352941176471,0.08953003199187995
117,IL15,-0.4382352941176471,0.08953003199187995
47,CD93,-0.45,0.0802957365433964
198,SCG2,-0.45,0.0802957365433964
14,CCL14,-0.45,0.0802957365433964
186,NCR1,-0.4558823529411765,0.07594549116741177
159,IL7R,-0.4588235294117647,0.07383553449548107
37,CD274,-0.4588235294117647,0.07383553449548107
166,LAG3,-0.4676470588235294,0.06776085019015395
99,ICAM1,-0.4676470588235294,0.06776085019015395
137,IL20,-0.4764705882352941,0.062059174189226164
174,MERTK,-0.488235294117647,0.05501502977813759
130,IL19,-0.4911764705882353,0.053350435677943356
1,AGRP,-0.5058823529411764,0.045581616123940336
10,CALCA,-0.5441176470588236,0.029336337481376578
80,FASLG,-0.5617647058823529,0.023537016474280824
205,TAFA5,-0.5676470588235295,0.02181459214374292
123,IL17C,-0.5705882352941177,0.02099069636821777
46,CD83,-0.5823529411764706,0.017932734131035355
167,LAMP3,-0.611764705882353,0.011788405053115212
132,IL1R1,-0.6441176470588235,0.007081524086582877
139,IL23,-0.6676470588235294,0.004711981947989975
146,IL34,-0.7147058823529412,0.0018627410999474353
180,MMP3,-0.7794117647058825,0.00037168023647875503
15,CCL15,-0.823529411764706,8.839139363842143e-05
