,Feature,Correlation,P-value
150,IL3RA,-0.04642857142857142,0.8694915255450946
89,FURIN,-0.049999999999999996,0.859540943467457
110,IL10RB,-0.05357142857142857,0.8496099367776071
144,IL32,-0.06071428571428571,0.8298120954425188
146,IL34,-0.06071428571428571,0.8298120954425188
96,HAVCR1,-0.06428571428571428,0.8199479653196377
199,SDC1,-0.06785714285714285,0.8101088187105131
244,VSTM1,-0.07142857142857141,0.8002959873970544
203,SLAMF1,-0.07142857142857141,0.8002959873970544
212,TLR3,-0.07142857142857141,0.8002959873970544
216,TNFRSF13B,-0.075,0.7905107941552679
40,CD4,-0.07857142857142857,0.7807545523090466
99,ICAM1,-0.07857142857142857,0.7807545523090466
35,CD200R1,-0.07857142857142857,0.7807545523090466
9,C1QA,-0.08214285714285713,0.7710285652881772
124,IL17F,-0.08928571428571427,0.751672517350277
223,TNFRSF21,-0.08928571428571427,0.751672517350277
77,CXCL9,-0.09285714285714285,0.742045009907367
54,CSF1R,-0.09285714285714285,0.742045009907367
185,NAMPT,-0.09285714285714285,0.742045009907367
51,CNTF,-0.10714285714285714,0.7039010016261615
157,IL6ST,-0.11428571428571425,0.6850657626568972
156,IL6R,-0.11785714285714284,0.6757115292213043
71,CXCL16,-0.12142857142857141,0.6664011137233894
126,IL17RB,-0.125,0.6571356681869504
234,TNFSF4,-0.1357142857142857,0.6296204418728145
12,CCL11,-0.1357142857142857,0.6296204418728145
91,GDF2,-0.13928571428571426,0.6205460876279014
8,BST2,-0.14285714285714282,0.6115222287644655
186,NCR1,-0.14285714285714282,0.6115222287644655
236,TNFSF9,-0.15,0.5936302027425882
120,IL17A,-0.15,0.5936302027425882
24,CCL24,-0.15357142857142855,0.5847640949410158
180,MMP3,-0.15357142857142855,0.5847640949410158
3,ANGPT2,-0.15357142857142855,0.5847640949410158
118,IL15RA,-0.15714285714285714,0.5759526006037947
5,AREG,-0.15714285714285714,0.5759526006037947
64,CXADR,-0.15714285714285714,0.5759526006037947
206,TEK,-0.1607142857142857,0.5671967045803448
41,CD40,-0.1607142857142857,0.5671967045803448
174,MERTK,-0.16428571428571426,0.5584973732486012
111,IL11,-0.16428571428571426,0.5584973732486012
205,TAFA5,-0.1714285714285714,0.5412721760996331
134,IL1RL1,-0.1714285714285714,0.5412721760996331
58,CSF3R,-0.175,0.5327481481378592
159,IL7R,-0.175,0.5327481481378592
133,IL1R2,-0.17857142857142855,0.5242843600465525
143,IL2RB,-0.18214285714285713,0.5158816817070392
23,CCL23,-0.18928571428571428,0.49926303323854526
70,CXCL14,-0.18928571428571428,0.49926303323854526
195,PTX3,-0.18928571428571428,0.49926303323854526
127,IL18,-0.1928571428571428,0.4910487016052232
98,HLA-DRA,-0.1928571428571428,0.4910487016052232
7,BMP7,-0.1964285714285714,0.4828987562716336
175,MICA,-0.1964285714285714,0.4828987562716336
128,IL18BP,-0.2071428571428571,0.4588428049634703
39,CD3E,-0.2071428571428571,0.4588428049634703
125,IL17RA,-0.21071428571428572,0.450957865215285
116,IL13RA2,-0.21428571428571427,0.44314093482351424
165,KNG1,-0.2178571428571428,0.43539267351553756
20,CCL20,-0.2178571428571428,0.43539267351553756
48,CEACAM5,-0.22499999999999998,0.420104686907635
163,KITLG,-0.2321428571428571,0.40509874069364893
202,SIRPA,-0.2321428571428571,0.40509874069364893
191,PDCD1,-0.23928571428571427,0.39037931192023567
235,TNFSF8,-0.24642857142857136,0.37595051597380524
152,IL4R,-0.25,0.36884629178393047
160,IL9,-0.2571428571428571,0.35486036365060913
1,AGRP,-0.2571428571428571,0.35486036365060913
14,CCL14,-0.2607142857142857,0.34797945986279355
10,CALCA,-0.2642857142857143,0.3411737579900821
217,TNFRSF13C,-0.2678571428571428,0.3344436005123538
183,MPO,-0.27499999999999997,0.3212111733193767
52,CRP,-0.2821428571428571,0.30828445682005556
176,MICB,-0.28928571428571426,0.29566536100437785
16,CCL16,-0.2964285714285714,0.28335542843426287
